row_id,P_id,Venue,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
0,234675,home,72,663.1,24,3201,103,31.07,4.82,38.6
1,234675,away,66,535.5,18,2682,52,51.57,5.00,61.8
2,234675,neutral,46,387.2,13,1861,57,32.64,4.80,40.7
3,625371,home,31,195.3,5,1161,35,33.17,5.93,33.5
4,625371,away,33,211.5,5,1104,33,33.45,5.21,38.5
5,625371,neutral,16,125.5,5,695,16,43.43,5.52,47.1
6,26421,home,45,422.4,9,2129,70,30.41,5.03,36.2
7,26421,away,42,371.1,14,1875,42,44.64,5.05,53.0
8,26421,neutral,27,256.4,14,1176,44,26.72,4.58,35.0
9,625383,home,36,319.3,20,1547,58,26.67,4.84,33.0
10,625383,away,29,250.0,18,1117,55,20.30,4.46,27.2
11,625383,neutral,18,155.5,14,683,30,22.76,4.38,31.1
12,481896,home,39,322.0,25,1881,70,26.87,5.84,27.6
13,481896,away,39,335.3,15,1843,75,24.57,5.49,26.8
14,481896,neutral,17,141.3,9,713,35,20.37,5.03,24.2
15,326016,home,44,382.2,27,2031,50,40.62,5.31,45.8
16,326016,away,49,375.4,23,1965,53,37.07,5.23,42.5
17,326016,neutral,27,216.3,18,955,38,25.13,4.41,34.1
18,376116,home,23,197.4,6,1189,40,29.72,6.01,29.6
19,376116,away,30,235.2,8,1482,43,34.46,6.29,32.8
20,376116,neutral,20,160.0,9,894,23,38.86,5.58,41.7
