row_id,P_id,Country,Inns,Runs,HS,Ave,SR
0,253802,v Australia,47,2367,123,53.79,94.00
1,253802,v Bangladesh,16,910,136,75.83,101.78
2,253802,v England,36,1340,122,41.87,88.15
3,253802,v New Zealand,31,1645,154*,58.75,95.69
4,253802,v Pakistan,16,678,183,52.15,100.29
5,253802,v South Africa,29,1504,160*,65.39,85.74
6,253802,v Sri Lanka,51,2594,166*,63.26,93.91
7,253802,v West Indies,41,2261,157*,66.50,96.95
8,34102,v Australia,45,2379,209,58.02,96.00
9,34102,v Bangladesh,17,786,137,56.14,97.27
10,34102,v England,20,724,137*,48.26,86.91
11,34102,v New Zealand,27,982,147,37.76,85.39
12,34102,v Pakistan,19,873,140,51.35,92.38
13,34102,v South Africa,25,806,150,33.58,82.66
14,34102,v Sri Lanka,50,1864,264,45.46,94.47
15,34102,v West Indies,35,1613,162,57.60,91.85
16,422108,v Australia,16.0,691.0,97*,57.58,89.5
17,422108,v Bangladesh,6.0,225.0,77,45.00,82.41
18,422108,v England,10.0,249.0,108,31.12,84.12
19,422108,v New Zealand,6.0,271.0,112,67.75,109.71
20,422108,v Pakistan,3.0,187.0,111*,187.00,87.79
21,422108,v South Africa,7.0,187.0,56,26.71,70.83
22,422108,v Sri Lanka,9.0,309.0,111,38.62,86.55
23,422108,v West Indies,5.0,282.0,102,56.40,88.12
24,28235,v Australia,29.0,1265.0,143,45.17,97.68
25,28235,v Bangladesh,11.0,335.0,75,30.45,84.81
26,28235,v England,18.0,567.0,98,35.43,86.3
27,28235,v New Zealand,15.0,463.0,75*,33.07,77.29
28,28235,v Pakistan,7.0,380.0,114,54.28,102.42
29,28235,v South Africa,23.0,992.0,137,45.09,92.71
30,28235,v Sri Lanka,19.0,1111.0,132*,69.43,97.11
31,28235,v West Indies,30.0,1012.0,119,34.89,86.86
32,28081,v Australia,48,1660,139*,44.86,80.89
33,28081,v Bangladesh,17,569,101*,47.41,83.43
34,28081,v England,44,1546,134,46.84,87.94
35,28081,v New Zealand,26,940,84*,49.47,82.45
36,28081,v Pakistan,31,1231,148,53.52,90.44
37,28081,v South Africa,32,830,92*,31.92,87.36
38,28081,v Sri Lanka,53,2383,183*,64.40,90.09
39,28081,v West Indies,33,1005,95,55.83,90.70
40,234675,v Australia,32,575,66*,25.00,74.96
41,234675,v Bangladesh,6,108,32,27.00,86.40
42,234675,v England,21,509,87,42.41,98.26
43,234675,v New Zealand,11,361,77,51.57,97.83
44,234675,v Pakistan,7,130,52*,21.66,75.14
45,234675,v South Africa,7,191,47*,38.20,114.37
46,234675,v Sri Lanka,19,383,60*,38.30,82.01
47,234675,v West Indies,24,299,39*,19.93,77.06
48,625371,v Australia,12,557,92*,55.70,112.29
49,625371,v Bangladesh,1,0,0,0.00,0.00
50,625371,v England,11,402,71,44.66,120.72
51,625371,v New Zealand,10,274,54,27.40,98.56
52,625371,v Pakistan,4,209,87,69.66,132.27
53,625371,v South Africa,5,41,15*,13.66,97.61
54,625371,v Sri Lanka,11,127,36,12.70,85.81
55,625371,v West Indies,6,152,70*,30.40,110.94
56,26421,v Australia,8,85,28,14.16,69.67
57,26421,v Bangladesh,3,7,4,3.50,50.00
58,26421,v England,14,128,36*,14.22,121.90
59,26421,v New Zealand,6,94,65,15.66,123.68
60,26421,v Pakistan,6,45,31*,11.25,61.64
61,26421,v South Africa,6,81,25*,20.25,83.50
62,26421,v Sri Lanka,11,132,38,16.50,94.28
63,26421,v West Indies,9,135,31,33.75,72.58
