row_id,P_id,Country,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
0,234675,v Australia,41,378.3,6,1985,37,53.64,5.24,61.3
1,234675,v Bangladesh,13,108.0,2,481,14,34.35,4.45,46.2
2,234675,v England,25,199.3,4,952,39,24.41,4.77,30.6
3,234675,v New Zealand,14,125.0,2,654,8,81.75,5.23,93.7
4,234675,v Pakistan,11,97.5,5,474,12,39.50,4.84,48.9
5,234675,v South Africa,10,89.1,4,402,15,26.80,4.50,35.6
6,234675,v Sri Lanka,28,223.5,8,1081,28,38.60,4.82,47.9
7,234675,v West Indies,32,268.1,16,1315,44,29.88,4.90,36.5
8,625371,v Australia,11,62.0,0,399,12,33.25,6.43,31.0
9,625371,v Bangladesh,3,14.3,0,102,3,34.00,7.03,29.0
10,625371,v England,11,83.3,4,493,12,41.08,5.90,41.7
11,625371,v New Zealand,14,95.0,4,545,15,36.33,5.73,38.0
12,625371,v Pakistan,6,41.5,0,215,8,26.87,5.13,31.3
13,625371,v South Africa,8,60.0,0,299,5,59.80,4.98,72.0
14,625371,v Sri Lanka,16,101.4,2,552,16,34.50,5.42,38.1
15,625371,v West Indies,8,49.4,1,227,8,28.37,4.57,37.2
16,26421,v Australia,18,163.0,1,907,21,43.19,5.56,46.5
17,26421,v Bangladesh,7,70.0,5,308,8,38.50,4.40,52.5
18,26421,v England,22,191.2,3,980,35,28.00,5.12,32.8
19,26421,v New Zealand,10,91.0,3,468,12,39.00,5.14,45.5
20,26421,v Pakistan,8,75.4,4,376,10,37.60,4.96,45.4
21,26421,v South Africa,9,81.4,1,435,7,62.14,5.32,70.0
22,26421,v Sri Lanka,20,187.0,8,869,32,27.15,4.64,35.0
23,26421,v West Indies,16,150.5,7,668,21,31.80,4.42,43.0
24,625383,v Australia,21,194.3,11,1024,30,34.13,5.26,38.9
25,625383,v Bangladesh,5,47.4,4,211,12,17.58,4.42,23.8
26,625383,v England,7,63.1,7,372,17,21.88,5.88,22.2
27,625383,v New Zealand,13,121.4,7,588,15,39.20,4.83,48.6
28,625383,v Pakistan,7,51.1,5,232,7,33.14,4.53,43.8
29,625383,v South Africa,12,95.0,3,381,17,22.41,4.01,33.5
30,625383,v Sri Lanka,13,105.2,11,433,26,16.65,4.11,24.3
31,625383,v West Indies,4,30.0,4,80,8,10.00,2.66,22.5
32,481896,v Australia,24,205.4,9,1248,39,32.00,6.06,31.6
33,481896,v Bangladesh,4,35.0,3,187,9,20.77,5.34,23.3
34,481896,v England,15,115.3,6,565,25,22.60,4.89,27.7
35,481896,v New Zealand,14,118.0,7,715,37,19.32,6.05,19.1
36,481896,v Pakistan,3,28.0,5,107,5,21.40,3.82,33.6
37,481896,v South Africa,5,40.0,2,233,13,17.92,5.82,18.4
38,481896,v Sri Lanka,6,47.0,3,297,11,27.00,6.31,25.6
39,481896,v West Indies,18,149.3,10,834,37,22.54,5.57,24.2
40,326016,v Australia,18,155.0,7,819,23,35.60,5.28,40.4
41,326016,v Bangladesh,7,56.0,3,279,9,31.00,4.98,37.3
42,326016,v England,17,136.0,11,670,16,41.87,4.92,51.0
43,326016,v New Zealand,14,118.1,5,646,19,34.00,5.46,37.3
44,326016,v Pakistan,10,79.4,11,330,14,23.57,4.14,34.1
45,326016,v South Africa,16,133.1,3,863,15,57.53,6.48,53.2
46,326016,v Sri Lanka,15,130.3,11,625,20,31.25,4.78,39.1
47,326016,v West Indies,17,118.0,11,545,19,28.68,4.61,37.2
48,376116,v Australia,11,99.5,3,677,21,32.23,6.78,28.5
49,376116,v Bangladesh,5,35.0,1,202,9,22.44,5.77,23.3
50,376116,v England,9,64.1,0,447,10,44.70,6.96,38.5
51,376116,v New Zealand,5,41.0,1,236,8,29.50,5.75,30.7
52,376116,v Pakistan,3,24.2,1,109,5,21.80,4.47,29.2
53,376116,v South Africa,6,49.0,0,334,6,55.66,6.81,49.0
54,376116,v Sri Lanka,14,112.4,6,698,15,46.53,6.19,45.0
55,376116,v West Indies,15,134.4,8,702,26,27.00,5.21,31.0
